Cell	Longitude	Latitude
727	34.28954	47.30472
728	34.31599	47.30442
729	34.34244	47.304115
730	34.368893	47.303802
731	34.39534	47.303482
732	34.42179	47.303158
733	34.44824	47.302826
734	34.474686	47.30249
735	34.501133	47.302147
736	34.52758	47.301796
737	34.554028	47.30144
738	34.580475	47.30108
739	34.60692	47.300713
740	34.633366	47.30034
741	34.65981	47.299957
742	34.686253	47.299572
743	34.712696	47.29918
744	34.73914	47.29878
745	34.765583	47.298374
746	34.792023	47.297966
747	34.818466	47.29755
748	34.844906	47.297127
749	34.871346	47.296696
750	34.897785	47.29626
751	34.924225	47.295822
752	34.95066	47.295376
753	34.9771	47.29492
754	35.003536	47.29446
755	35.029972	47.293995
756	35.056408	47.293526
757	35.08284	47.29305
758	35.109276	47.292564
759	35.135708	47.292072
760	34.104748	47.32465
761	34.13121	47.32439
762	34.157673	47.324127
763	34.184135	47.323856
764	34.210598	47.32358
765	34.237057	47.3233
766	34.26352	47.32301
767	34.289978	47.322716
768	34.316437	47.322414
769	34.3429	47.322105
770	34.369358	47.321793
771	34.395817	47.321472
772	34.42227	47.321148
773	34.44873	47.320816
774	34.47519	47.32048
775	34.501644	47.320137
776	34.5281	47.319786
777	34.554554	47.31943
778	34.58101	47.31907
779	34.607464	47.3187
780	34.63392	47.318325
781	34.660374	47.317947
782	34.686825	47.31756
783	34.71328	47.317165
784	34.73973	47.31677
785	34.766182	47.316364
786	34.792633	47.315952
787	34.81908	47.315536
788	34.84553	47.315113
789	34.87198	47.314686
790	34.89843	47.314247
791	34.924877	47.31381
792	34.951324	47.31336
793	34.977768	47.31291
794	35.004215	47.312447
795	35.03066	47.31198
796	35.057106	47.31151
797	35.08355	47.31103
798	35.109993	47.310547
799	35.136433	47.31006
800	34.105125	47.342644
801	34.131596	47.342384
802	34.158066	47.34212
803	34.184536	47.34185
804	34.211006	47.34157
805	34.237476	47.34129
806	34.263947	47.341
807	34.290417	47.340706
808	34.316887	47.340405
